,Unnamed: 0,price,superficie_habitable,superficie_terrain,codeP,gouvernorat,delegation,localite,adresse,anneeConst,nbpiece,typeImm,fonds,plein_air,salle_de_bain,constructible,service,chauffage,climatisation,cuisine,installations_sportives,description
839,839,1350000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan nord,,0,commerce,,,,,,,,,,fb.72 contacter notre conseiller en immobilier hassine au   52156061  a vendre une superbe villa indépendante de deux niveaux située ain zaghouan nord d’une surface 421 m² r+1/couverts 380 m²  la villa est composée    rdc grand salon 53 m² + 3 chambres + salle du bain + salle d'eau + cuisine + équipé de chauffage central  1er étage   salon 42 m² avec balcon + 3 chambres + salle du bain + salle d'eau + cuisine avec balcon  2éme étage   1 salle de lavage en dernier étage 11m² + 1 garage son couverte 33m² (deux place de parking) + 1 garage couverte 24 m² commercial + jardin 262 m² + quatre places de parking devant maison  agence immobilière ari .
9909,9909,840000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,,"Ain Zaghouan, La Marsa, Tunis",,0,commerce,,,,,,,,,,
10757,10757,850000.0,450.0,450.0,,ZAGHOUAN,,,"El Fahs, Zaghouan",,0,commerce,,,3,,,,,,,
25407,25407,946000.0,150.0,150.0,,ZAGHOUAN,,,"jardin de carthage, Aïn Zaghouan, Tunis",,0,commerce,,,,,,,,,,
31229,31229,650000.0,150.0,150.0,,ZAGHOUAN,,,"Zaghouan, Zaghouan",,0,commerce,,,,,,,,,,
787,787,1320000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan nord,,0,terrain,,,,,,,,,,la croisette agence immobilière à ain zaghouan nord vous propose à la vente un terrain.  vous bénéficierez d’une superficie 1100 m².  vous vous trouverez dans un quartier chic résidentiel et calme.  nous vous offrons ce terrain à 1200dt/m². pour les offres similaires merci de taper la croisette immobilière
939,939,3100000.0,150.0,150.0,,ZAGHOUAN,Zaghouan,Zaghouan,twerrain agricole 95ha,,0,terrain,,,,,,,,,,"terrain agricole zaghouan d'une superficie de 95ha route godronne 4000 pie olivier 3000 figes et 30 ha grande agriculture  deux fois sondage début 8'5 dépôt 200 mètre  prix,3100 000 md légèrement négociable  pour plus d'info ou visite appeler agence colombus lac1 95502825"
1263,1263,590000.0,150.0,150.0,,ZAGHOUAN,Zaghouan,Zaghouan,zaghouan,,0,terrain,,,,,,,,,,"vous cherchez le calme ,la sérénité , respirer de l'aire frais et pur; immohayet vous propose en vente une villa de maitre dans un cadre verdoyant , calme et avec une vue sublime sur la montagne de zaghouan, une villa haut standing nouvellement construite sur un terrain de 4714 m² ,à 7 minutes du centre de zaghouan .  la villa est composée d'un grand salon et salle à manger avec cheminée ,aussi un coin pour séjour donnant sur 2 vérandas + 3 chambres dont une suite parentale avec salle de douche et 2 dressings + wc pour invités + sdb + cuisine moderne équipée   une suite pour invités à l''étage = salon + suite avec salle de douche + grande terrasse qui donne sur la montagne   un garage de 70 m² avec une cuisine et salle d'eau   une piscine   chauffage centrale   fenêtres en alu avec stores électriques   beau jardin planté  n.b   vous avez la possibilité d'acquérir un terrain de 2700 m² à coté  pour plus d'information,contactez agence al hayet au complexe challekh mourouj 4 ou par tél 98221518"
1309,1309,660000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouen nord,,0,terrain,,,,,,,,,,"a vendre un terrain de 400m² ,r+2, jumelé de deux cotés ,dans un bon quartier à ain zaghouan nord proche de toutes les commodités . prix de mètre carré   1650 dt  ztv0001"
2026,2026,800000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan auprès de usine nestlé,,0,terrain,,,,,,,,,,"à vendre un magnifique petit immeuble à ain zaghoun de 400 m² bâti et 300 m² terrain et comportant 3 appartements dont voici les détails  au rezdechaussée, on trouve appartement s+3 de 143 m² net, composé d'un grand salon et 3 chambres à coucher avec dressing , une cuisine avec séchoir, et une salle de bain.  au premier étage on trouve deux appartements, un s+3 de 110 m² net et un s+2 de 90 m² net.  l'appartement s+3 est composé aussi d'un grand salon, salle à manger , trois chambres à couchés,un belle cuisine avec séchoir et une salle de bain.  l'appartement s+2 est composé d'un grand salon, salle à manger ,deux chambres à couchés,un belle cuisine avec séchoir et une salle de bain.  nb  il est autorisé au propriétaire d 'ajouter un deuxième niveau de 200 m² qui peut contenir deux appartements séparés ou un grand appartement avec grand terrasse.  prix   800 000 dt pour plus d'info merci de rappeler notre agence au 51603900/99603906/51614130"
2453,2453,580000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan,,0,terrain,,,,,,,,,,"la croisette immobiliere vous propose   a vendre un triplex de 180m² terrain, 360 bâti à ain zaghouan côté de la foire du kram composé d’un salon, séjour, salle à manger, séjour, cuisine entièrement équipée, salle d’eau avec une spacieuse suite parentale, suite junior, une chambre à coucher, une suite junior, une terrasse et  un abri de voiture. ref  mz881"
2788,2788,1320000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan nord,,0,terrain,,,,,,,,,,la croisette agence immobilière à ain zaghouan nord vous propose à la vente un terrain.   vous bénéficierez d’une superficie 1100 m².  vous vous trouverez dans un quartier chic résidentiel et calme.  nous vous offrons ce terrain à 1200dt/m².
2963,2963,1300000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan,,0,terrain,,,,,,,,,,"phoenix estates, agence immobilière située à la marsa, vous propose à la vente un projet d’investissement sis à ain zaghouan.  cet immeuble est sur un terrain de 320m², actuellement, il est en r+1 (possibilité de bâtir 4 appartements, 2 appartements par étage).    au rez de chaussée, on trouve un show room de 250m². deux appartements de 100m² chacun sont à l’étage.    rentabilité  60000dt annuel net d’impôt    prix de vente  1300000dt légèrement négociable  nos agents sont à votre disposition pour toutes informations nécessaires et éventuelle visite.  veuillez nous contacter sur le +216 26647474  notre site web  phoenixestates. com"
3953,3953,1150000.0,150.0,150.0,,ZAGHOUAN,LA MARSA,Ain Zaghouan,ain zaghouan nord,,0,terrain,,,,,,,,,,a vendre salon de thé en plein activité  murs et fond avec tout le matériels  167 m couvert et 70 m terrasse
